run_id,run_at,config_name,config_description,period,timeframe,dynamic_positions,dynamic_threshold,min_score,indicators,symbol,initial_balance,final_balance,profit_30d,profit_60d,profit_90d,total_trades,winning_trades,losing_trades,neutral_skipped,total_signals,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,max_drawdown_pct,profit_factor,sharpe_approx
bt_20260228_091957_base,2026-02-28T09:19:57.069615,base,Base configuration - similar to current production,2025,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10122.0,30.3,152.32,152.32,18,8,10,4562,4580,44.4,10.34,-9.93,1.22,2.65,0.83,-0.91
bt_20260228_091957_dynamic_on,2026-02-28T09:19:57.106391,dynamic_on,Base + dynamic positions enabled,2025,60m,True,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10122.0,30.3,152.32,152.32,18,8,10,4562,4580,44.4,10.34,-9.93,1.22,2.65,0.83,-0.91
bt_20260228_091957_dynamic_aggressive,2026-02-28T09:19:57.139398,dynamic_aggressive,Dynamic positions with lower threshold (close more trades),2025,60m,True,0.15,0.25,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,9308.0,310.15,-175.62,-397.47,46,19,27,4319,4365,41.3,8.87,-13.19,-6.92,11.18,0.47,-3.77
bt_20260228_091957_no_rsi,2026-02-28T09:19:57.174244,no_rsi,Without RSI indicator,2025,60m,False,0.25,0.3,"StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10122.0,30.3,152.32,152.32,18,8,10,4562,4580,44.4,10.34,-9.93,1.22,2.65,0.83,-0.91
bt_20260228_091957_momentum_only,2026-02-28T09:19:57.206044,momentum_only,Only momentum-based indicators,2025,60m,False,0.25,0.35,"RSI,MACD,Momentum",XAU,10000.0,9982.0,0.0,48.13,48.13,4,2,2,4725,4729,50.0,7.13,-6.9,-0.18,0.66,1.03,0.21
bt_20260228_091957_strict,2026-02-28T09:19:57.238130,strict,"Strict entry - higher min_score, more agreement required",2025,60m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10036.0,0.0,35.65,35.65,1,1,0,4760,4761,100.0,11.15,0,0.36,0.0,inf,0
bt_20260228_094036_momentum_only,2026-02-28T09:40:36.307298,momentum_only,Only momentum-based indicators,2024,15m,False,0.25,0.35,"RSI,MACD,Momentum",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_094101_strict,2026-02-28T09:41:01.802542,strict,"Strict entry - higher min_score, more agreement required",2025,15m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,0.0,0.0,0.0,0,0,0,86,86,0,0,0,0.0,0.0,0,0
bt_20260228_094147_strict,2026-02-28T09:41:47.615226,strict,"Strict entry - higher min_score, more agreement required",all,60m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10053.0,0.0,35.65,35.65,2,2,0,84918,84920,100.0,6.64,0,0.53,0.0,inf,23.41
,2026-02-28T10:10:31.272137,momentum_on,Base configuration - similar to current production,2024,15mm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
